state,district,crop,modal_price,min_price,max_price,date,month,day_of_week,price_lag_1,price_lag_7,price_lag_30,rolling_mean_7,rolling_std_7,price_direction
Gujarat,Rajkot,Bajra(Pearl Millet/Cumbu),2265.0,,,2017-04-29 00:09:21.221315,4,5,1940.0,2265.0,2265.0,2102.5,229.80970388562795,1
Gujarat,Rajkot,Bengal Gram(Gram)(Whole),4305.0,,,2017-04-30 00:09:21.221315,4,6,4980.0,4305.0,4305.0,4642.5,477.29707730091957,0
Gujarat,Rajkot,Cotton,6000.0,,,2017-05-01 00:09:21.221315,5,0,6960.0,6000.0,6000.0,6678.333333333333,590.2612415984411,0
Gujarat,Rajkot,Jowar(Sorghum),3520.0,,,2017-05-02 00:09:21.221315,5,1,4250.0,3520.0,3520.0,3885.0,516.1879502661797,0
Gujarat,Rajkot,Wheat,2330.0,,,2017-05-03 00:09:21.221315,5,2,2225.0,2330.0,2330.0,2298.75,128.281916106675,1
Gujarat,Rajkot,Arhar (Tur/Red Gram)(Whole),8250.0,,,2017-05-04 00:09:21.221315,5,3,7000.0,8250.0,8250.0,8185.0,1153.8739099225704,1
Gujarat,Rajkot,Bajra(Pearl Millet/Cumbu),2075.0,,,2017-05-05 00:09:21.221315,5,4,2265.0,2075.0,2075.0,2093.3333333333335,163.27379867367983,0
Gujarat,Rajkot,Bengal Gram(Gram)(Whole),4900.0,,,2017-05-06 00:09:21.221315,5,5,4305.0,4900.0,4900.0,4728.333333333333,368.7930765799886,1
Gujarat,Rajkot,Bengal Gram(Gram)(Whole),11750.0,,,2017-05-07 00:09:21.221315,5,6,4900.0,11750.0,11750.0,6483.75,3523.722877393548,1
Gujarat,Rajkot,Black Gram (Urd Beans)(Whole),7680.0,,,2017-05-08 00:09:21.221315,5,0,7680.0,7680.0,7680.0,7680.0,0.0,0
Gujarat,Rajkot,Cotton,7200.0,,,2017-05-09 00:09:21.221315,5,1,6000.0,7200.0,7200.0,6808.75,548.0020529158627,1
Gujarat,Rajkot,Green Gram (Moong)(Whole),8125.0,,,2017-05-10 00:09:21.221315,5,2,6750.0,8125.0,8125.0,7437.5,972.2718241315029,1
Gujarat,Rajkot,Jowar(Sorghum),4750.0,,,2017-05-11 00:09:21.221315,5,3,3520.0,4750.0,4750.0,4173.333333333333,618.5736280616346,1
Gujarat,Rajkot,Mustard,5100.0,,,2017-05-12 00:09:21.221315,5,4,4900.0,5100.0,5100.0,5000.0,141.4213562373095,1
Gujarat,Rajkot,Wheat,2335.0,,,2017-05-13 00:09:21.221315,5,5,2330.0,2335.0,2335.0,2306.0,112.2719911643149,1
Gujarat,Rajkot,Wheat,2450.0,,,2017-05-14 00:09:21.221315,5,6,2335.0,2450.0,2450.0,2330.0,116.36150566231085,1
Gujarat,Sabarkantha,Wheat,2350.0,,,2017-05-15 00:09:21.221315,5,0,2350.0,2350.0,2350.0,2350.0,0.0,0
Gujarat,Surat,Pegeon Pea (Arhar Fali),12500.0,,,2017-05-16 00:09:21.221315,5,1,12500.0,12500.0,12500.0,12500.0,0.0,0
Gujarat,Surendranagar,Cotton,7000.0,,,2017-05-17 00:09:21.221315,5,2,7000.0,7000.0,7000.0,7000.0,0.0,0
Gujarat,Surendranagar,Wheat,2400.0,,,2017-05-18 00:09:21.221315,5,3,2400.0,2400.0,2400.0,2400.0,0.0,0
Gujarat,Surendranagar,Cotton,7025.0,,,2017-05-19 00:09:21.221315,5,4,7000.0,7025.0,7025.0,7012.5,17.67766952966369,1
Gujarat,Surendranagar,Mustard,6900.0,,,2017-05-20 00:09:21.221315,5,5,6900.0,6900.0,6900.0,6900.0,0.0,0
Gujarat,Surendranagar,Wheat,2450.0,,,2017-05-21 00:09:21.221315,5,6,2400.0,2450.0,2450.0,2425.0,35.35533905932738,1
Karnataka,Haveri,Maize,2050.0,,,2017-05-22 00:09:21.221315,5,0,2050.0,2050.0,2050.0,2050.0,0.0,0
Karnataka,Kolar,Paddy(Dhan)(Common),2080.0,,,2017-05-23 00:09:21.221315,5,1,2080.0,2080.0,2080.0,2080.0,0.0,0
Karnataka,Raichur,Paddy(Dhan)(Common),3005.0,,,2017-05-24 00:09:21.221315,5,2,3005.0,3005.0,3005.0,3005.0,0.0,0
Karnataka,Shimoga,Arhar Dal(Tur Dal),11750.0,,,2017-05-25 00:09:21.221315,5,3,11750.0,11750.0,11750.0,11750.0,0.0,0
Karnataka,Shimoga,Bengal Gram Dal (Chana Dal),6750.0,,,2017-05-26 00:09:21.221315,5,4,6750.0,6750.0,6750.0,6750.0,0.0,0
