state,district,crop,modal_price,min_price,max_price,date
Telangana,Karimnagar,Paddy(Dhan)(Common),2040.0,,,
Telangana,Karimnagar,Paddy(Dhan)(Common),2060.0,,,
Telangana,Karimnagar,Paddy(Dhan)(Common),2040.0,,,
Telangana,Karimnagar,Paddy(Dhan)(Common),2203.0,,,
Telangana,Karimnagar,Paddy(Dhan)(Common),2100.0,,,
Telangana,Karimnagar,Paddy(Dhan)(Common),2060.0,,,
Telangana,Karimnagar,Paddy(Dhan)(Common),2040.0,,,
Telangana,Karimnagar,Paddy(Dhan)(Common),2060.0,,,
Telangana,Karimnagar,Paddy(Dhan)(Common),2203.0,,,
Telangana,Karimnagar,Cotton,6380.0,,,
Telangana,Karimnagar,Paddy(Dhan)(Common),2060.0,,,
Telangana,Karimnagar,Cotton,6380.0,,,
Telangana,Karimnagar,Paddy(Dhan)(Common),2060.0,,,
Telangana,Karimnagar,Paddy(Dhan)(Common),2060.0,,,
Telangana,Karimnagar,Paddy(Dhan)(Common),2060.0,,,
Telangana,Khammam,Paddy(Dhan)(Common),2060.0,,,
Telangana,Khammam,Paddy(Dhan)(Common),2060.0,,,
Telangana,Khammam,Paddy(Dhan)(Common),2040.0,,,
Telangana,Khammam,Cotton,6800.0,,,
Telangana,Mahbubnagar,Paddy(Dhan)(Common),2050.0,,,
Telangana,Mahbubnagar,Paddy(Dhan)(Common),2040.0,,,
Telangana,Medak,Paddy(Dhan)(Common),2060.0,,,
Telangana,Medak,Paddy(Dhan)(Common),2060.0,,,
Telangana,Nalgonda,Arhar (Tur/Red Gram)(Whole),6600.0,,,
Telangana,Nalgonda,Paddy(Dhan)(Basmati),2060.0,,,
Telangana,Nalgonda,Paddy(Dhan)(Common),2060.0,,,
Telangana,Nalgonda,Cotton,6080.0,,,
Telangana,Nalgonda,Cotton,6080.0,,,
Telangana,Nalgonda,Paddy(Dhan)(Common),2040.0,,,
Telangana,Nalgonda,Paddy(Dhan)(Common),2040.0,,,
Telangana,Nalgonda,Paddy(Dhan)(Common),2060.0,,,
Telangana,Nalgonda,Paddy(Dhan)(Common),2060.0,,,
Telangana,Nalgonda,Paddy(Dhan)(Common),2060.0,,,
Telangana,Nalgonda,Cotton,6380.0,,,
Telangana,Nalgonda,Maize,1930.0,,,
Telangana,Nalgonda,Paddy(Dhan)(Common),2060.0,,,
Telangana,Nalgonda,Paddy(Dhan)(Common),2060.0,,,
Telangana,Nalgonda,Paddy(Dhan)(Common),2060.0,,,
Telangana,Nalgonda,Paddy(Dhan)(Common),2060.0,,,
Telangana,Nalgonda,Paddy(Dhan)(Common),2203.0,,,
Telangana,Nalgonda,Cotton,7150.0,,,
Telangana,Nizamabad,Maize,1962.0,,,
Telangana,Nizamabad,Paddy(Dhan)(Common),2040.0,,,
Telangana,Nizamabad,Paddy(Dhan)(Common),2060.0,,,
Telangana,Nizamabad,Paddy(Dhan)(Common),2040.0,,,
Telangana,Nizamabad,Maize,1962.0,,,
Telangana,Ranga Reddy,Maize,1962.0,,,
Telangana,Ranga Reddy,Paddy(Dhan)(Common),2060.0,,,
Telangana,Ranga Reddy,Paddy(Dhan)(Common),2000.0,,,
Telangana,Warangal,Cotton,6200.0,,,
Telangana,Warangal,Cotton,6600.0,,,
Uttar Pradesh,Agra,Wheat,2270.0,,,
Uttar Pradesh,Aligarh,Arhar (Tur/Red Gram)(Whole),8300.0,,,
Uttar Pradesh,Aligarh,Bajra(Pearl Millet/Cumbu),2140.0,,,
Uttar Pradesh,Aligarh,Barley (Jau),2230.0,,,
